Temps(s)	Vx(m/s)	Q (m3/s)	Piston 1		Piston 2	Piston 3	Piston 4	Piston 5	Piston 6
0,0636	0,714552	2,02035E-05	2,02035E-05	2,02035E-05	0	0	0	2,04491E-05	4,21178E-05
0,064	0,795401	2,24894E-05	2,24894E-05	2,24894E-05	0	0	0	1,80914E-05	4,18772E-05
0,0644	0,873111	2,46866E-05	2,46866E-05	2,46866E-05	0	0	0	1,56623E-05	4,14712E-05
0,0648	0,947375	2,67864E-05	2,67864E-05	2,67864E-05	0	0	0	1,31714E-05	4,09016E-05
0,0652	1,0179	2,87804E-05	2,87804E-05	2,87804E-05	0	0	0	1,06285E-05	4,01706E-05
0,0656	1,084409	3,06609E-05	3,06609E-05	3,06609E-05	0	0	0	8,04374E-06	3,9281E-05
0,066	1,146637	3,24204E-05	3,24204E-05	3,24204E-05	0	0	0	5,42715E-06	3,82364E-05
0,0664	1,20434	3,40519E-05	3,40519E-05	3,40519E-05	0	0	0	2,78915E-06	3,70409E-05
0,0668	1,25729	3,5549E-05	3,5549E-05	3,5549E-05	0	0	0	1,40156E-07	3,56993E-05
0,0672	1,305279	3,69059E-05	3,69059E-05	3,69059E-05	2,5094E-06	0	0	0	3,42167E-05
0,0676	1,348116	3,81171E-05	3,81171E-05	3,81171E-05	5,14904E-06	0	0	0	3,25991E-05
0,068	1,385632	3,91778E-05	3,91778E-05	3,91778E-05	7,76837E-06	0	0	0	3,08528E-05
0,0684	1,41768	4,0084E-05	4,0084E-05	4,0084E-05	1,03571E-05	0	0	0	2,89848E-05
0,0688	1,444133	4,08319E-05	4,08319E-05	4,08319E-05	1,29049E-05	0	0	0	2,70024E-05
0,0692	1,464887	4,14187E-05	4,14187E-05	4,14187E-05	1,54017E-05	0	0	0	2,49134E-05
0,0696	1,47986	4,18421E-05	4,18421E-05	4,18421E-05	1,78378E-05	0	0	0	2,27261E-05
0,07	1,488992	4,21003E-05	4,21003E-05	4,21003E-05	2,02035E-05	0	0	0	2,04491E-05
0,0704	1,492248	4,21923E-05	4,21923E-05	4,21923E-05	2,24894E-05	0	0	0	1,80914E-05
0,0708	1,489614	4,21178E-05	4,21178E-05	4,21178E-05	2,46866E-05	0	0	0	1,56623E-05
0,0712	1,481102	4,18772E-05	4,18772E-05	4,18772E-05	2,67864E-05	0	0	0	1,31714E-05
0,0716	1,466745	4,14712E-05	4,14712E-05	4,14712E-05	2,87804E-05	0	0	0	1,06285E-05
0,072	1,446599	4,09016E-05	4,09016E-05	4,09016E-05	3,06609E-05	0	0	0	8,04374E-06
0,0724	1,420744	4,01706E-05	4,01706E-05	4,01706E-05	3,24204E-05	0	0	0	5,42715E-06
0,0728	1,389282	3,9281E-05	3,9281E-05	3,9281E-05	3,40519E-05	0	0	0	2,78915E-06
0,0732	1,352337	3,82364E-05	3,82364E-05	3,82364E-05	3,5549E-05	0	0	0	1,40156E-07
0,0736	1,310055	3,70409E-05	3,70409E-05	3,70409E-05	3,69059E-05	0	0	0	0
0,074	1,262603	3,56993E-05	3,56993E-05	3,56993E-05	3,81171E-05	2,5094E-06	0	0	0
0,0744	1,210167	3,42167E-05	3,42167E-05	3,42167E-05	3,91778E-05	5,14904E-06	0	0	0
0,0748	1,152956	3,25991E-05	3,25991E-05	3,25991E-05	4,0084E-05	7,76837E-06	0	0	0
0,0752	1,091195	3,08528E-05	3,08528E-05	3,08528E-05	4,08319E-05	1,03571E-05	0	0	0
0,0756	1,025127	2,89848E-05	2,89848E-05	2,89848E-05	4,14187E-05	1,29049E-05	0	0	0
0,076	0,955014	2,70024E-05	2,70024E-05	2,70024E-05	4,18421E-05	1,54017E-05	0	0	0
0,0764	0,881131	2,49134E-05	2,49134E-05	2,49134E-05	4,21003E-05	1,78378E-05	0	0	0
0,0768	0,803772	2,27261E-05	2,27261E-05	2,27261E-05	4,21923E-05	2,02035E-05	0	0	0
0,0772	0,72324	2,04491E-05	2,04491E-05	2,04491E-05	4,21178E-05	2,24894E-05	0	0	0
0,0776	0,639853	1,80914E-05	1,80914E-05	1,80914E-05	4,18772E-05	2,46866E-05	0	0	0
0,078	0,553942	1,56623E-05	1,56623E-05	1,56623E-05	4,14712E-05	2,67864E-05	0	0	0
0,0784	0,465844	1,31714E-05	1,31714E-05	1,31714E-05	4,09016E-05	2,87804E-05	0	0	0
0,0788	0,375908	1,06285E-05	1,06285E-05	1,06285E-05	4,01706E-05	3,06609E-05	0	0	0
0,0792	0,284489	8,04374E-06	8,04374E-06	8,04374E-06	3,9281E-05	3,24204E-05	0	0	0
0,0796	0,191946	5,42715E-06	5,42715E-06	5,42715E-06	3,82364E-05	3,40519E-05	0	0	0
0,08	0,098646	2,78915E-06	2,78915E-06	2,78915E-06	3,70409E-05	3,5549E-05	0	0	0
0,0804	0,004957	1,40156E-07	1,40156E-07	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06	0	0
0,0808	-0,088752	-2,5094E-06	0	0	3,42167E-05	3,81171E-05	5,14904E-06	0	0
0,0812	-0,18211	-5,14904E-06	0	0	3,25991E-05	3,91778E-05	7,76837E-06	0	0
0,0816	-0,27475	-7,76837E-06	0	0	3,08528E-05	4,0084E-05	1,03571E-05	0	0
0,082	-0,366306	-1,03571E-05	0	0	2,89848E-05	4,08319E-05	1,29049E-05	0	0
0,0824	-0,456416	-1,29049E-05	0	0	2,70024E-05	4,14187E-05	1,54017E-05	0	0
0,0828	-0,544724	-1,54017E-05	0	0	2,49134E-05	4,18421E-05	1,78378E-05	0	0
0,0832	-0,630883	-1,78378E-05	0	0	2,27261E-05	4,21003E-05	2,02035E-05	0	0
0,0836	-0,714552	-2,02035E-05	0	0	2,04491E-05	4,21923E-05	2,24894E-05	0	0
0,084	-0,795401	-2,24894E-05	0	0	1,80914E-05	4,21178E-05	2,46866E-05	0	0
0,0844	-0,873111	-2,46866E-05	0	0	1,56623E-05	4,18772E-05	2,67864E-05	0	0
0,0848	-0,947375	-2,67864E-05	0	0	1,31714E-05	4,14712E-05	2,87804E-05	0	0
0,0852	-1,0179	-2,87804E-05	0	0	1,06285E-05	4,09016E-05	3,06609E-05	0	0
0,0856	-1,084409	-3,06609E-05	0	0	8,04374E-06	4,01706E-05	3,24204E-05	0	0
0,086	-1,146637	-3,24204E-05	0	0	5,42715E-06	3,9281E-05	3,40519E-05	0	0
0,0864	-1,20434	-3,40519E-05	0	0	2,78915E-06	3,82364E-05	3,5549E-05	0	0
0,0868	-1,25729	-3,5549E-05	0	0	1,40156E-07	3,70409E-05	3,69059E-05	0	0
0,0872	-1,305279	-3,69059E-05	0	0	0	3,56993E-05	3,81171E-05	2,5094E-06	0
0,0876	-1,348116	-3,81171E-05	0	0	0	3,42167E-05	3,91778E-05	5,14904E-06	0
0,088	-1,385632	-3,91778E-05	0	0	0	3,25991E-05	4,0084E-05	7,76837E-06	0
0,0884	-1,41768	-4,0084E-05	0	0	0	3,08528E-05	4,08319E-05	1,03571E-05	0
0,0888	-1,444133	-4,08319E-05	0	0	0	2,89848E-05	4,14187E-05	1,29049E-05	0
0,0892	-1,464887	-4,14187E-05	0	0	0	2,70024E-05	4,18421E-05	1,54017E-05	0
0,0896	-1,47986	-4,18421E-05	0	0	0	2,49134E-05	4,21003E-05	1,78378E-05	0
0,09	-1,488992	-4,21003E-05	0	0	0	2,27261E-05	4,21923E-05	2,02035E-05	0
0,0904	-1,492248	-4,21923E-05	0	0	0	2,04491E-05	4,21178E-05	2,24894E-05	0
0,0908	-1,489614	-4,21178E-05	0	0	0	1,80914E-05	4,18772E-05	2,46866E-05	0
0,0912	-1,481102	-4,18772E-05	0	0	0	1,56623E-05	4,14712E-05	2,67864E-05	0
0,0916	-1,466745	-4,14712E-05	0	0	0	1,31714E-05	4,09016E-05	2,87804E-05	0
0,092	-1,446599	-4,09016E-05	0	0	0	1,06285E-05	4,01706E-05	3,06609E-05	0
0,0924	-1,420744	-4,01706E-05	0	0	0	8,04374E-06	3,9281E-05	3,24204E-05	0
0,0928	-1,389282	-3,9281E-05	0	0	0	5,42715E-06	3,82364E-05	3,40519E-05	0
0,0932	-1,352337	-3,82364E-05	0	0	0	2,78915E-06	3,70409E-05	3,5549E-05	0
0,0936	-1,310055	-3,70409E-05	0	0	0	1,40156E-07	3,56993E-05	3,69059E-05	2,5094E-06
0,094	-1,262603	-3,56993E-05	0	0	0	0	3,42167E-05	3,81171E-05	5,14904E-06
0,0944	-1,210167	-3,42167E-05	0	0	0	0	3,25991E-05	3,91778E-05	7,76837E-06
0,0948	-1,152956	-3,25991E-05	0	0	0	0	3,08528E-05	4,0084E-05	1,03571E-05
0,0952	-1,091195	-3,08528E-05	0	0	0	0	2,89848E-05	4,08319E-05	1,29049E-05
0,0956	-1,025127	-2,89848E-05	0	0	0	0	2,70024E-05	4,14187E-05	1,54017E-05
0,096	-0,955014	-2,70024E-05	0	0	0	0	2,49134E-05	4,18421E-05	1,78378E-05
0,0964	-0,881131	-2,49134E-05	0	0	0	0	2,27261E-05	4,21003E-05	2,02035E-05
0,0968	-0,803772	-2,27261E-05	0	0	0	0	2,04491E-05	4,21923E-05	2,24894E-05
0,0972	-0,72324	-2,04491E-05	0	0	0	0	1,80914E-05	4,21178E-05	2,46866E-05
0,0976	-0,639853	-1,80914E-05	0	0	0	0	1,56623E-05	4,18772E-05	2,67864E-05
0,098	-0,553942	-1,56623E-05	0	0	0	0	1,31714E-05	4,14712E-05	2,87804E-05
0,0984	-0,465844	-1,31714E-05	0	0	0	0	1,06285E-05	4,09016E-05	3,06609E-05
0,0988	-0,375908	-1,06285E-05	0	0	0	0	8,04374E-06	4,01706E-05	3,24204E-05
0,0992	-0,284489	-8,04374E-06	0	0	0	0	5,42715E-06	3,9281E-05	3,40519E-05
0,0996	-0,191946	-5,42715E-06	0	0	0	0	2,78915E-06	3,82364E-05	3,5549E-05
0,1	-0,098646	-2,78915E-06	0	0	0	0	1,40156E-07	3,70409E-05	3,69059E-05
0,1004	-0,004957	-1,40156E-07	0	0	0	0	0	3,56993E-05	3,81171E-05
0,1008	0,088752	2,5094E-06	2,5094E-06	2,5094E-06	0	0	0	3,42167E-05	3,91778E-05
0,1012	0,18211	5,14904E-06	5,14904E-06	5,14904E-06	0	0	0	3,25991E-05	4,0084E-05
0,1016	0,27475	7,76837E-06	7,76837E-06	7,76837E-06	0	0	0	3,08528E-05	4,08319E-05
0,102	0,366306	1,03571E-05	1,03571E-05	1,03571E-05	0	0	0	2,89848E-05	4,14187E-05
0,1024	0,456416	1,29049E-05	1,29049E-05	1,29049E-05	0	0	0	2,70024E-05	4,18421E-05
0,1028	0,544724	1,54017E-05	1,54017E-05	1,54017E-05	0	0	0	2,49134E-05	4,21003E-05
0,1032	0,630883	1,78378E-05	1,78378E-05	1,78378E-05	0	0	0	2,27261E-05	4,21923E-05
0,1036	0,714552	2,02035E-05	2,02035E-05	2,02035E-05	0	0	0	2,04491E-05	4,21178E-05
0,104	0,795401	2,24894E-05	2,24894E-05	2,24894E-05	0	0	0	1,80914E-05	4,18772E-05
0,1044	0,873111	2,46866E-05	2,46866E-05	2,46866E-05	0	0	0	1,56623E-05	4,14712E-05
0,1048	0,947375	2,67864E-05	2,67864E-05	2,67864E-05	0	0	0	1,31714E-05	4,09016E-05
0,1052	1,0179	2,87804E-05	2,87804E-05	2,87804E-05	0	0	0	1,06285E-05	4,01706E-05
